match_id,batting_team,bowling_team,venue,pitch_type,pitch_condition,current_score,overs_completed,wickets_out,runs_last_5_overs,overs_remaining,wickets_remaining,run_rate,season,final_score
22,PBKS,RR,Sawai Mansingh Stadium,Balanced,Hard,151,15,6,36,5,4,10.07,2019,204
23,DC,RR,Chinnaswamy Stadium,Bowling Friendly,Flat,136,15,3,51,5,7,9.07,2014,183
24,RCB,MI,Narendra Modi Stadium,Balanced,Hard,74,9,3,16,11,7,8.22,2022,197
25,LSG,SRH,Eden Gardens,Balanced,Dusty,102,16,4,69,4,6,6.38,2013,122
26,GT,DC,Chinnaswamy Stadium,Batting Friendly,Hard,101,7,9,61,13,1,14.43,2020,270
27,RCB,SRH,Chinnaswamy Stadium,Bowling Friendly,Dry,145,18,4,74,2,6,8.06,2009,153
28,DC,GT,Chepauk Stadium,Batting Friendly,Dusty,49,12,1,29,8,9,4.08,2010,102
29,RCB,DC,Chepauk Stadium,Batting Friendly,Flat,141,19,0,80,1,10,7.42,2011,166
30,RCB,KKR,Chinnaswamy Stadium,Batting Friendly,Hard,91,6,2,24,14,8,15.17,2013,270
31,LSG,DC,Eden Gardens,Batting Friendly,Dusty,134,16,1,77,4,9,8.38,2024,208
32,PBKS,KKR,Arun Jaitley Stadium,Bowling Friendly,Flat,70,16,7,71,4,3,4.38,2019,80
33,PBKS,RR,Narendra Modi Stadium,Batting Friendly,Dry,114,8,4,39,12,6,14.25,2024,270
34,RR,DC,Eden Gardens,Bowling Friendly,Green,58,7,7,79,13,3,8.29,2013,138
35,SRH,RR,Rajiv Gandhi Stadium,Balanced,Hard,156,13,6,52,7,4,12.0,2022,239
36,RCB,SRH,Arun Jaitley Stadium,Batting Friendly,Green,172,16,0,50,4,10,10.75,2016,251
37,SRH,RCB,Narendra Modi Stadium,Batting Friendly,Dry,111,9,6,79,11,4,12.33,2015,270
38,PBKS,CSK,Rajiv Gandhi Stadium,Balanced,Dusty,118,17,2,67,3,8,6.94,2014,154
39,RCB,PBKS,Arun Jaitley Stadium,Balanced,Flat,147,16,4,42,4,6,9.19,2015,189
40,RCB,RR,Narendra Modi Stadium,Bowling Friendly,Green,54,11,6,42,9,4,4.91,2008,89
41,CSK,LSG,Chepauk Stadium,Balanced,Dusty,85,11,0,54,9,10,7.73,2012,205
42,MI,DC,Narendra Modi Stadium,Batting Friendly,Green,117,13,6,18,7,4,9.0,2020,188
43,RR,RCB,Chepauk Stadium,Bowling Friendly,Hard,125,12,8,38,8,2,10.42,2011,168
44,MI,RCB,Sawai Mansingh Stadium,Bowling Friendly,Flat,57,13,3,46,7,7,4.38,2016,86
45,CSK,SRH,Arun Jaitley Stadium,Batting Friendly,Flat,134,16,3,35,4,7,8.38,2022,183
46,CSK,MI,Eden Gardens,Batting Friendly,Hard,78,11,8,22,9,2,7.09,2010,154
47,KKR,DC,Rajiv Gandhi Stadium,Batting Friendly,Dusty,170,17,7,16,3,3,10.0,2016,196
48,RCB,GT,Narendra Modi Stadium,Batting Friendly,Flat,144,12,9,48,8,1,12.0,2014,233
49,MI,LSG,Wankhede Stadium,Bowling Friendly,Hard,191,19,1,68,1,9,10.05,2013,216
50,RR,KKR,Rajiv Gandhi Stadium,Batting Friendly,Dusty,80,14,3,33,6,7,5.71,2024,138
51,SRH,DC,Sawai Mansingh Stadium,Balanced,Dusty,131,19,0,49,1,10,6.89,2024,157
52,RCB,CSK,Wankhede Stadium,Bowling Friendly,Dusty,160,17,8,42,3,2,9.41,2024,189
53,LSG,RCB,Eden Gardens,Balanced,Dusty,198,19,2,45,1,8,10.42,2015,210
54,RR,DC,Sawai Mansingh Stadium,Bowling Friendly,Hard,123,13,8,45,7,2,9.46,2018,173
55,CSK,GT,Arun Jaitley Stadium,Balanced,Dusty,63,14,0,57,6,10,4.5,2012,111
56,RR,PBKS,Sawai Mansingh Stadium,Balanced,Dry,106,19,3,47,1,7,5.58,2021,122
57,DC,MI,Chepauk Stadium,Batting Friendly,Dusty,67,5,0,24,15,10,13.4,2009,270
58,GT,MI,Chepauk Stadium,Balanced,Hard,71,16,3,21,4,7,4.44,2017,94
59,RR,KKR,Eden Gardens,Batting Friendly,Hard,111,16,3,52,4,7,6.94,2019,156
60,PBKS,GT,Chepauk Stadium,Batting Friendly,Hard,197,19,3,49,1,7,10.37,2016,212
61,CSK,RCB,Sawai Mansingh Stadium,Bowling Friendly,Green,103,18,2,55,2,8,5.72,2012,126
62,DC,RCB,Narendra Modi Stadium,Balanced,Green,36,9,6,77,11,4,4.0,2024,88
63,DC,CSK,Chinnaswamy Stadium,Batting Friendly,Dusty,187,17,2,67,3,8,11.0,2021,247
64,GT,CSK,Eden Gardens,Batting Friendly,Green,41,8,7,22,12,3,5.12,2014,110
65,DC,GT,Eden Gardens,Balanced,Flat,98,18,9,53,2,1,5.44,2009,109
66,RCB,RR,Sawai Mansingh Stadium,Batting Friendly,Green,68,9,6,22,11,4,7.56,2008,178
67,KKR,CSK,Chepauk Stadium,Balanced,Flat,176,16,7,41,4,3,11.0,2023,214
68,GT,KKR,Eden Gardens,Balanced,Dry,94,11,8,22,9,2,8.55,2010,148
69,MI,KKR,Sawai Mansingh Stadium,Batting Friendly,Hard,78,18,3,64,2,7,4.33,2014,88
70,CSK,PBKS,Eden Gardens,Balanced,Hard,179,19,6,24,1,4,9.42,2008,192
71,KKR,GT,Chepauk Stadium,Batting Friendly,Hard,45,6,4,55,14,6,7.5,2021,201
72,RCB,SRH,Arun Jaitley Stadium,Batting Friendly,Dry,72,9,3,34,11,7,8.0,2021,206
73,LSG,PBKS,Chepauk Stadium,Balanced,Green,58,12,0,54,8,10,4.83,2012,109
74,CSK,DC,Chepauk Stadium,Bowling Friendly,Flat,92,14,7,54,6,3,6.57,2009,114
75,CSK,RCB,Sawai Mansingh Stadium,Balanced,Flat,79,8,6,46,12,4,9.88,2020,210
76,SRH,DC,Wankhede Stadium,Batting Friendly,Dry,77,16,6,53,4,4,4.81,2012,110
77,SRH,DC,Chinnaswamy Stadium,Bowling Friendly,Dusty,67,10,8,54,10,2,6.7,2024,116
78,SRH,PBKS,Chepauk Stadium,Bowling Friendly,Flat,63,7,1,47,13,9,9.0,2011,218
79,PBKS,LSG,Narendra Modi Stadium,Balanced,Flat,59,6,1,77,14,9,9.83,2018,263
80,LSG,MI,Wankhede Stadium,Bowling Friendly,Hard,44,11,6,20,9,4,4.0,2014,84
81,RCB,GT,Wankhede Stadium,Balanced,Green,123,15,4,74,5,6,8.2,2009,168
82,GT,KKR,Chinnaswamy Stadium,Batting Friendly,Dry,233,19,8,55,1,2,12.26,2018,248
83,MI,LSG,Narendra Modi Stadium,Balanced,Dusty,135,16,7,64,4,3,8.44,2011,167
84,RR,LSG,Arun Jaitley Stadium,Batting Friendly,Dusty,91,10,6,63,10,4,9.1,2017,190
85,RCB,GT,Sawai Mansingh Stadium,Bowling Friendly,Hard,179,19,1,55,1,9,9.42,2017,193
86,PBKS,LSG,Narendra Modi Stadium,Balanced,Flat,170,17,9,61,3,1,10.0,2008,187
87,KKR,RCB,Wankhede Stadium,Bowling Friendly,Dry,29,7,3,78,13,7,4.14,2013,92
88,CSK,RR,Rajiv Gandhi Stadium,Bowling Friendly,Dusty,82,10,9,20,10,1,8.2,2010,122
89,MI,CSK,Arun Jaitley Stadium,Balanced,Dusty,146,13,9,27,7,1,11.23,2024,197
90,CSK,KKR,Chinnaswamy Stadium,Batting Friendly,Flat,43,5,1,41,15,9,8.6,2016,269
91,LSG,MI,Chinnaswamy Stadium,Bowling Friendly,Flat,192,19,5,43,1,5,10.11,2020,204
92,LSG,KKR,Wankhede Stadium,Balanced,Flat,74,16,9,34,4,1,4.62,2009,82
93,PBKS,LSG,Sawai Mansingh Stadium,Balanced,Dusty,91,12,3,58,8,7,7.58,2019,180
94,LSG,KKR,Chepauk Stadium,Batting Friendly,Dry,178,15,6,62,5,4,11.87,2017,259
95,SRH,PBKS,Rajiv Gandhi Stadium,Batting Friendly,Dry,136,10,5,51,10,5,13.6,2012,270
96,DC,SRH,Wankhede Stadium,Balanced,Dry,81,13,9,70,7,1,6.23,2011,101
97,CSK,DC,Wankhede Stadium,Balanced,Dusty,163,14,4,78,6,6,11.64,2014,247
98,LSG,RCB,Narendra Modi Stadium,Balanced,Dry,135,14,3,70,6,7,9.64,2020,203
99,DC,LSG,Eden Gardens,Bowling Friendly,Hard,102,14,1,46,6,9,7.29,2023,145
100,DC,RR,Chepauk Stadium,Balanced,Dusty,79,10,0,29,10,10,7.9,2022,212
101,SRH,LSG,Eden Gardens,Balanced,Flat,74,8,3,67,12,7,9.25,2021,215
102,LSG,KKR,Rajiv Gandhi Stadium,Batting Friendly,Flat,106,12,1,75,8,9,8.83,2018,245
103,DC,MI,Wankhede Stadium,Bowling Friendly,Dry,54,13,4,80,7,6,4.15,2020,82
104,RR,DC,Chepauk Stadium,Balanced,Dusty,103,9,0,26,11,10,11.44,2018,270
105,MI,DC,Rajiv Gandhi Stadium,Batting Friendly,Flat,119,10,7,62,10,3,11.9,2013,246
106,DC,RR,Eden Gardens,Bowling Friendly,Dusty,126,19,7,52,1,3,6.63,2010,130
107,LSG,GT,Narendra Modi Stadium,Balanced,Green,38,6,6,54,14,4,6.33,2011,129
108,KKR,RR,Narendra Modi Stadium,Batting Friendly,Dusty,120,19,9,77,1,1,6.32,2012,121
109,DC,KKR,Sawai Mansingh Stadium,Batting Friendly,Dry,83,19,5,65,1,5,4.37,2011,84
110,RCB,KKR,Eden Gardens,Balanced,Flat,118,11,7,69,9,3,10.73,2008,204
111,GT,KKR,Chinnaswamy Stadium,Bowling Friendly,Green,52,11,4,60,9,6,4.73,2010,90
112,DC,MI,Rajiv Gandhi Stadium,Batting Friendly,Dry,81,10,0,64,10,10,8.1,2024,248
113,RCB,MI,Chepauk Stadium,Balanced,Dusty,164,16,8,65,4,2,10.25,2013,188
114,KKR,CSK,Eden Gardens,Bowling Friendly,Dusty,26,6,4,26,14,6,4.33,2010,76
115,DC,RR,Eden Gardens,Batting Friendly,Dry,40,6,0,38,14,10,6.67,2022,217
116,MI,GT,Sawai Mansingh Stadium,Bowling Friendly,Hard,49,5,1,36,15,9,9.8,2023,227
117,RR,LSG,Sawai Mansingh Stadium,Balanced,Dusty,113,16,6,47,4,4,7.06,2019,141
118,KKR,CSK,Chinnaswamy Stadium,Batting Friendly,Hard,78,13,9,18,7,1,6.0,2013,112
119,GT,CSK,Chinnaswamy Stadium,Bowling Friendly,Green,143,16,2,27,4,8,8.94,2021,176
120,PBKS,SRH,Chepauk Stadium,Bowling Friendly,Dry,178,17,9,19,3,1,10.47,2013,194
121,PBKS,RR,Arun Jaitley Stadium,Batting Friendly,Flat,193,15,7,22,5,3,12.87,2022,270
122,KKR,LSG,Narendra Modi Stadium,Balanced,Hard,35,5,7,42,15,3,7.0,2023,134
123,MI,SRH,Chepauk Stadium,Balanced,Hard,133,16,6,27,4,4,8.31,2012,170
124,RCB,PBKS,Arun Jaitley Stadium,Bowling Friendly,Flat,43,5,8,28,15,2,8.6,2011,122
125,KKR,RCB,Chinnaswamy Stadium,Bowling Friendly,Hard,75,18,5,43,2,5,4.17,2018,96
126,SRH,DC,Eden Gardens,Bowling Friendly,Dry,103,17,6,61,3,4,6.06,2009,108
127,RCB,RR,Sawai Mansingh Stadium,Bowling Friendly,Dusty,40,5,9,71,15,1,8.0,2018,103
128,LSG,CSK,Arun Jaitley Stadium,Batting Friendly,Hard,70,16,3,38,4,7,4.38,2019,102
129,MI,DC,Chinnaswamy Stadium,Bowling Friendly,Flat,137,14,4,34,6,6,9.79,2010,199
130,CSK,LSG,Eden Gardens,Batting Friendly,Green,114,8,4,42,12,6,14.25,2015,270
131,MI,SRH,Wankhede Stadium,Batting Friendly,Dusty,113,10,5,53,10,5,11.3,2009,268
132,RR,CSK,Eden Gardens,Bowling Friendly,Hard,129,15,5,58,5,5,8.6,2008,175
133,GT,KKR,Eden Gardens,Bowling Friendly,Dry,153,19,6,80,1,4,8.05,2024,153
134,RR,MI,Sawai Mansingh Stadium,Bowling Friendly,Hard,91,10,8,26,10,2,9.1,2008,149
135,CSK,RR,Sawai Mansingh Stadium,Bowling Friendly,Flat,81,16,6,61,4,4,5.06,2019,95
136,CSK,RR,Arun Jaitley Stadium,Bowling Friendly,Hard,121,17,0,65,3,10,7.12,2015,158
137,MI,DC,Wankhede Stadium,Bowling Friendly,Flat,48,6,5,55,14,5,8.0,2012,146
138,DC,PBKS,Rajiv Gandhi Stadium,Batting Friendly,Green,53,9,1,72,11,9,5.89,2011,184
139,PBKS,LSG,Sawai Mansingh Stadium,Bowling Friendly,Hard,80,14,7,68,6,3,5.71,2013,111
140,CSK,RR,Rajiv Gandhi Stadium,Batting Friendly,Dry,84,7,3,79,13,7,12.0,2011,270
141,MI,SRH,Sawai Mansingh Stadium,Balanced,Hard,111,11,1,31,9,9,10.09,2012,254
142,CSK,RR,Sawai Mansingh Stadium,Bowling Friendly,Flat,139,16,3,30,4,7,8.69,2012,171
143,MI,RCB,Sawai Mansingh Stadium,Balanced,Dry,54,8,2,15,12,8,6.75,2023,167
144,DC,RCB,Rajiv Gandhi Stadium,Balanced,Dusty,119,10,8,33,10,2,11.9,2008,223
145,SRH,LSG,Arun Jaitley Stadium,Bowling Friendly,Flat,75,9,2,59,11,8,8.33,2013,179
146,DC,KKR,Rajiv Gandhi Stadium,Balanced,Hard,94,9,2,31,11,8,10.44,2019,264
147,SRH,PBKS,Narendra Modi Stadium,Batting Friendly,Dry,128,13,8,50,7,2,9.85,2013,198
148,LSG,DC,Narendra Modi Stadium,Balanced,Dusty,68,14,8,23,6,2,4.86,2013,106
149,LSG,KKR,Eden Gardens,Bowling Friendly,Flat,75,8,5,54,12,5,9.38,2021,165
150,DC,MI,Rajiv Gandhi Stadium,Bowling Friendly,Dry,50,11,8,33,9,2,4.55,2015,84
151,CSK,GT,Arun Jaitley Stadium,Batting Friendly,Dusty,58,8,5,18,12,5,7.25,2020,170
152,PBKS,KKR,Arun Jaitley Stadium,Balanced,Green,132,17,0,74,3,10,7.76,2019,163
153,MI,PBKS,Eden Gardens,Bowling Friendly,Flat,39,8,3,65,12,7,4.88,2018,114
154,SRH,LSG,Arun Jaitley Stadium,Balanced,Green,34,7,3,29,13,7,4.86,2015,130
155,DC,SRH,Sawai Mansingh Stadium,Batting Friendly,Hard,189,15,7,51,5,3,12.6,2021,265
156,GT,SRH,Arun Jaitley Stadium,Batting Friendly,Green,65,15,3,50,5,7,4.33,2014,107
157,CSK,SRH,Rajiv Gandhi Stadium,Balanced,Dry,153,13,7,28,7,3,11.77,2023,229
158,RR,DC,Chinnaswamy Stadium,Bowling Friendly,Dusty,56,12,7,40,8,3,4.67,2023,93
159,SRH,LSG,Arun Jaitley Stadium,Balanced,Dusty,58,7,7,25,13,3,8.29,2008,157
160,RCB,DC,Sawai Mansingh Stadium,Bowling Friendly,Dusty,90,10,1,42,10,9,9.0,2014,211
161,LSG,DC,Chinnaswamy Stadium,Batting Friendly,Dry,93,11,8,51,9,2,8.45,2011,162
162,KKR,SRH,Chepauk Stadium,Balanced,Dry,96,14,8,43,6,2,6.86,2013,137
163,RR,SRH,Narendra Modi Stadium,Batting Friendly,Dry,59,13,2,72,7,8,4.54,2018,109
164,CSK,RR,Sawai Mansingh Stadium,Balanced,Green,31,5,8,48,15,2,6.2,2009,96
165,DC,MI,Arun Jaitley Stadium,Batting Friendly,Hard,169,13,8,45,7,2,13.0,2010,255
166,DC,CSK,Narendra Modi Stadium,Bowling Friendly,Dry,75,10,6,75,10,4,7.5,2024,128
167,CSK,MI,Arun Jaitley Stadium,Batting Friendly,Green,66,12,1,64,8,9,5.5,2016,148
168,LSG,KKR,Rajiv Gandhi Stadium,Batting Friendly,Hard,42,7,4,66,13,6,6.0,2021,158
169,PBKS,RCB,Arun Jaitley Stadium,Batting Friendly,Flat,93,9,5,61,11,5,10.33,2009,245
170,PBKS,DC,Arun Jaitley Stadium,Bowling Friendly,Hard,97,10,2,73,10,8,9.7,2020,197
171,MI,PBKS,Wankhede Stadium,Balanced,Dry,171,15,4,18,5,6,11.4,2010,245
172,SRH,RCB,Narendra Modi Stadium,Batting Friendly,Dusty,121,15,3,79,5,7,8.07,2017,190
173,GT,DC,Chinnaswamy Stadium,Bowling Friendly,Flat,54,9,1,16,11,9,6.0,2013,123
174,DC,SRH,Sawai Mansingh Stadium,Bowling Friendly,Green,31,6,5,16,14,5,5.17,2009,96
175,MI,RCB,Chepauk Stadium,Bowling Friendly,Dusty,123,16,9,79,4,1,7.69,2023,149
176,LSG,GT,Rajiv Gandhi Stadium,Balanced,Flat,187,16,1,68,4,9,11.69,2010,261
177,RCB,KKR,Arun Jaitley Stadium,Bowling Friendly,Green,75,9,1,60,11,9,8.33,2009,174
178,DC,KKR,Sawai Mansingh Stadium,Batting Friendly,Hard,36,5,4,22,15,6,7.2,2009,195
179,LSG,CSK,Arun Jaitley Stadium,Batting Friendly,Green,97,16,6,69,4,4,6.06,2019,137
180,RCB,GT,Sawai Mansingh Stadium,Bowling Friendly,Flat,44,7,5,34,13,5,6.29,2020,107
181,LSG,MI,Eden Gardens,Batting Friendly,Green,168,13,6,74,7,4,12.92,2021,270
182,KKR,RCB,Arun Jaitley Stadium,Batting Friendly,Dry,127,12,9,18,8,1,10.58,2009,190
183,GT,DC,Chinnaswamy Stadium,Bowling Friendly,Dry,90,18,2,38,2,8,5.0,2020,101
184,RCB,MI,Wankhede Stadium,Bowling Friendly,Dry,142,13,3,64,7,7,10.92,2012,223
185,DC,PBKS,Wankhede Stadium,Batting Friendly,Hard,66,8,3,18,12,7,8.25,2008,221
186,MI,DC,Arun Jaitley Stadium,Bowling Friendly,Dusty,52,7,2,44,13,8,7.43,2020,170
187,LSG,PBKS,Narendra Modi Stadium,Balanced,Flat,66,8,3,74,12,7,8.25,2008,193
188,RCB,KKR,Sawai Mansingh Stadium,Batting Friendly,Dusty,44,10,6,28,10,4,4.4,2016,96
189,KKR,PBKS,Rajiv Gandhi Stadium,Batting Friendly,Dry,90,15,7,64,5,3,6.0,2023,114
190,SRH,PBKS,Chepauk Stadium,Bowling Friendly,Green,43,7,1,55,13,9,6.14,2016,141
191,KKR,RR,Eden Gardens,Balanced,Hard,109,14,6,65,6,4,7.79,2016,146
192,CSK,PBKS,Eden Gardens,Batting Friendly,Dry,115,10,1,66,10,9,11.5,2021,270
193,RR,LSG,Arun Jaitley Stadium,Balanced,Dry,124,19,9,33,1,1,6.53,2014,143
194,SRH,KKR,Chinnaswamy Stadium,Batting Friendly,Dusty,67,11,1,47,9,9,6.09,2020,167
195,RCB,RR,Narendra Modi Stadium,Bowling Friendly,Dry,122,11,0,47,9,10,11.09,2016,256
196,LSG,KKR,Narendra Modi Stadium,Balanced,Dusty,139,13,4,23,7,6,10.69,2020,219
197,SRH,RR,Rajiv Gandhi Stadium,Balanced,Hard,91,13,1,66,7,9,7.0,2017,154
198,SRH,RR,Narendra Modi Stadium,Balanced,Hard,77,16,6,71,4,4,4.81,2014,90
199,RR,SRH,Chepauk Stadium,Balanced,Green,97,16,0,17,4,10,6.06,2017,134
200,KKR,LSG,Sawai Mansingh Stadium,Batting Friendly,Dusty,121,16,7,76,4,3,7.56,2022,160
201,LSG,DC,Wankhede Stadium,Batting Friendly,Flat,89,11,6,57,9,4,8.09,2018,189
202,PBKS,MI,Narendra Modi Stadium,Batting Friendly,Green,100,8,9,45,12,1,12.5,2020,219
203,RCB,LSG,Eden Gardens,Batting Friendly,Hard,115,17,2,43,3,8,6.76,2009,143
204,KKR,LSG,Eden Gardens,Balanced,Green,36,6,3,69,14,7,6.0,2018,142
205,DC,KKR,Arun Jaitley Stadium,Balanced,Dry,79,7,8,77,13,2,11.29,2016,195
206,PBKS,KKR,Arun Jaitley Stadium,Bowling Friendly,Dry,66,12,2,21,8,8,5.5,2021,110
207,RCB,CSK,Arun Jaitley Stadium,Batting Friendly,Hard,97,9,5,67,11,5,10.78,2015,249
208,LSG,DC,Narendra Modi Stadium,Balanced,Green,73,15,7,42,5,3,4.87,2014,99
209,CSK,PBKS,Rajiv Gandhi Stadium,Balanced,Dry,33,5,0,39,15,10,6.6,2008,200
210,GT,RCB,Wankhede Stadium,Batting Friendly,Green,36,9,3,29,11,7,4.0,2017,113
211,RR,PBKS,Sawai Mansingh Stadium,Bowling Friendly,Green,60,6,3,30,14,7,10.0,2008,210
212,MI,PBKS,Arun Jaitley Stadium,Batting Friendly,Green,238,19,0,55,1,10,12.53,2023,265
213,SRH,PBKS,Eden Gardens,Bowling Friendly,Flat,199,19,6,77,1,4,10.47,2018,218
214,DC,SRH,Rajiv Gandhi Stadium,Batting Friendly,Dry,153,17,8,61,3,2,9.0,2020,175
215,RR,KKR,Arun Jaitley Stadium,Batting Friendly,Flat,62,7,3,52,13,7,8.86,2013,240
216,CSK,MI,Wankhede Stadium,Bowling Friendly,Flat,200,18,4,63,2,6,11.11,2016,227
217,CSK,PBKS,Narendra Modi Stadium,Batting Friendly,Flat,69,5,3,39,15,7,13.8,2016,270
218,PBKS,MI,Rajiv Gandhi Stadium,Batting Friendly,Hard,193,19,9,17,1,1,10.16,2020,208
219,KKR,RR,Chinnaswamy Stadium,Balanced,Hard,60,8,0,25,12,10,7.5,2012,215
220,MI,RR,Arun Jaitley Stadium,Balanced,Flat,86,15,7,40,5,3,5.73,2014,118
221,RCB,RR,Sawai Mansingh Stadium,Batting Friendly,Dusty,133,17,1,25,3,9,7.82,2020,174
222,KKR,RR,Sawai Mansingh Stadium,Batting Friendly,Green,116,13,8,54,7,2,8.92,2022,166
223,MI,PBKS,Wankhede Stadium,Bowling Friendly,Green,179,17,2,40,3,8,10.53,2014,221
224,SRH,CSK,Chinnaswamy Stadium,Balanced,Green,76,11,0,37,9,10,6.91,2024,183
225,GT,RCB,Arun Jaitley Stadium,Batting Friendly,Flat,104,15,4,72,5,6,6.93,2010,154
226,KKR,RCB,Chepauk Stadium,Bowling Friendly,Dry,85,8,0,47,12,10,10.62,2012,257
227,RCB,GT,Wankhede Stadium,Balanced,Dusty,108,17,5,24,3,5,6.35,2012,137
228,LSG,RCB,Wankhede Stadium,Bowling Friendly,Dry,182,18,7,32,2,3,10.11,2022,202
229,LSG,KKR,Narendra Modi Stadium,Balanced,Dry,65,12,5,30,8,5,5.42,2012,107
230,RR,DC,Chepauk Stadium,Bowling Friendly,Dusty,115,15,2,40,5,8,7.67,2014,156
231,KKR,LSG,Wankhede Stadium,Batting Friendly,Green,112,10,8,59,10,2,11.2,2013,226
232,RCB,MI,Rajiv Gandhi Stadium,Batting Friendly,Hard,99,19,7,40,1,3,5.21,2021,112
233,RR,PBKS,Chepauk Stadium,Bowling Friendly,Hard,58,7,4,67,13,6,8.29,2021,155
234,LSG,KKR,Arun Jaitley Stadium,Batting Friendly,Flat,140,12,8,80,8,2,11.67,2017,236
235,CSK,SRH,Eden Gardens,Balanced,Dusty,45,7,5,49,13,5,6.43,2023,127
236,KKR,MI,Arun Jaitley Stadium,Bowling Friendly,Dusty,58,11,1,73,9,9,5.27,2023,111
237,GT,KKR,Sawai Mansingh Stadium,Batting Friendly,Dry,188,15,7,59,5,3,12.53,2024,265
238,PBKS,CSK,Narendra Modi Stadium,Balanced,Hard,81,7,2,16,13,8,11.57,2022,270
239,MI,LSG,Chinnaswamy Stadium,Balanced,Hard,81,8,5,62,12,5,10.12,2012,223
240,MI,DC,Eden Gardens,Batting Friendly,Dusty,76,10,2,55,10,8,7.6,2010,218
241,MI,GT,Chinnaswamy Stadium,Balanced,Green,208,18,2,73,2,8,11.56,2013,247
242,CSK,SRH,Arun Jaitley Stadium,Balanced,Dry,95,10,1,79,10,9,9.5,2012,245
243,MI,KKR,Narendra Modi Stadium,Balanced,Dry,159,18,0,44,2,10,8.83,2023,186
244,KKR,RR,Sawai Mansingh Stadium,Batting Friendly,Dusty,98,7,1,15,13,9,14.0,2023,270
245,KKR,SRH,Sawai Mansingh Stadium,Bowling Friendly,Green,192,17,0,68,3,10,11.29,2020,247
246,RCB,PBKS,Narendra Modi Stadium,Bowling Friendly,Green,109,13,6,52,7,4,8.38,2008,168
247,KKR,LSG,Eden Gardens,Balanced,Dry,118,13,4,50,7,6,9.08,2022,184
248,KKR,LSG,Chinnaswamy Stadium,Batting Friendly,Dusty,28,7,8,65,13,2,4.0,2011,74
249,LSG,PBKS,Rajiv Gandhi Stadium,Batting Friendly,Dry,163,14,3,47,6,7,11.64,2024,270
250,GT,MI,Eden Gardens,Balanced,Green,131,17,3,32,3,7,7.71,2020,161
251,SRH,LSG,Chinnaswamy Stadium,Bowling Friendly,Green,93,12,7,79,8,3,7.75,2022,133
252,LSG,SRH,Narendra Modi Stadium,Batting Friendly,Flat,156,17,6,71,3,4,9.18,2020,194
253,RR,KKR,Eden Gardens,Bowling Friendly,Green,78,9,4,77,11,6,8.67,2014,162
254,RCB,KKR,Narendra Modi Stadium,Balanced,Green,77,17,8,77,3,2,4.53,2014,99
255,SRH,PBKS,Chepauk Stadium,Batting Friendly,Dry,184,16,4,73,4,6,11.5,2020,264
256,RCB,SRH,Arun Jaitley Stadium,Bowling Friendly,Dry,145,15,3,59,5,7,9.67,2009,200
257,KKR,DC,Narendra Modi Stadium,Balanced,Dusty,94,11,3,66,9,7,8.55,2015,189
